comment,rating,date_time
Highly recommend,3,1/7/2023
Worth the buy,4,10/24/2023
Poor quality,3,11/5/2023
Worth the buy,2,8/17/2021
Poor customer service,4,8/6/2021
Poor quality,1,7/19/2022
Versatile,1,10/14/2023
Highly recommend,3,5/30/2021
Great value,2,8/7/2023
Great quality,3,7/8/2022
Highly recommend,5,10/13/2022
Worth the buy,5,7/14/2022
Worth the buy,4,8/21/2022
Great quality,1,5/11/2022
Love it!,4,7/22/2023
Highly recommend,2,2/19/2023
Great value,2,6/8/2021
Great value,4,9/10/2022
Versatile,5,4/24/2022
Great value,1,4/28/2022
Awful,4,10/13/2023
Love it!,4,11/25/2021
Versatile,4,6/13/2022
Highly recommend,3,8/3/2022
Love it!,4,6/11/2023
Versatile,2,4/3/2023
Poor quality,4,4/24/2021
Poor customer service,5,5/18/2023
Awful,3,7/9/2023
Awful,1,1/30/2024
Versatile,1,1/16/2024
Worth the buy,5,11/1/2021
Waste of Money,3,3/1/2022
Great value,2,10/8/2023
Highly recommend,5,6/16/2022
Waste of Money,5,2/19/2021
Highly recommend,5,5/5/2021
Love it!,1,12/13/2023
Worth the buy,1,9/24/2023
Great value,1,4/7/2023
Great value,1,2/28/2024
Love it!,4,5/1/2021
Awful,4,1/16/2023
Poor customer service,1,3/4/2023
Worth the buy,3,1/16/2022
Versatile,2,4/19/2021
Great quality,3,6/23/2022
Waste of Money,5,7/9/2021
Poor customer service,1,5/24/2023
Waste of Money,5,4/23/2021
Poor customer service,2,1/15/2024
Awful,3,11/3/2021
Waste of Money,1,11/18/2022
Poor quality,1,11/27/2021
Worth the buy,1,7/10/2021
Awful,5,10/19/2022
Poor customer service,3,5/30/2022
Waste of Money,4,4/29/2021
Waste of Money,4,6/29/2021
Love it!,4,6/25/2021
Poor customer service,3,6/30/2021
Versatile,2,1/10/2022
Poor customer service,1,1/4/2024
Poor customer service,1,11/28/2021
Poor customer service,5,4/30/2023
Poor quality,2,6/20/2023
Awful,1,1/16/2024
Awful,2,9/5/2022
Great quality,3,8/16/2021
Highly recommend,2,8/6/2023
Awful,2,11/4/2021
Awful,3,2/4/2022
Poor quality,5,6/6/2021
Highly recommend,4,5/7/2023
Great quality,5,2/27/2022
Poor quality,4,10/2/2023
Awful,5,7/16/2021
Worth the buy,4,3/29/2023
Awful,5,6/30/2023
Waste of Money,2,5/23/2021
Love it!,3,12/12/2023
Awful,5,2/25/2022
Worth the buy,2,8/28/2021
Poor customer service,4,7/13/2022
Great value,5,4/20/2022
Poor quality,1,1/21/2024
Great value,4,5/9/2023
Highly recommend,4,3/7/2021
Highly recommend,1,7/27/2022
Highly recommend,4,12/9/2022
Poor customer service,1,8/5/2021
Poor customer service,3,10/16/2021
Waste of Money,3,11/22/2022
Worth the buy,1,12/24/2021
Versatile,1,2/14/2024
Poor customer service,3,3/20/2022
Great quality,2,4/26/2022
Highly recommend,4,7/25/2021
Great value,1,7/24/2022
Love it!,1,1/19/2024
Poor customer service,2,3/20/2023
Awful,2,9/24/2021
Great quality,2,6/18/2021
Poor quality,5,5/19/2023
Great value,1,11/7/2021
Poor quality,5,11/11/2023
Poor customer service,1,8/11/2023
Love it!,4,11/9/2022
Poor customer service,2,11/28/2021
Versatile,3,2/27/2024
Love it!,4,8/6/2022
Poor quality,1,1/21/2022
Versatile,1,8/5/2021
Poor quality,2,12/28/2023
Poor quality,2,11/5/2023
Worth the buy,3,3/27/2022
Waste of Money,5,10/16/2023
Great value,3,9/27/2022
Versatile,1,6/17/2021
Highly recommend,5,4/30/2021
Worth the buy,1,10/5/2023
Great quality,5,1/24/2024
Great value,1,9/25/2021
Awful,4,3/1/2021
Great value,3,9/19/2023
Poor customer service,3,6/27/2022
Awful,2,6/24/2021
Poor customer service,1,8/11/2022
Great quality,3,12/31/2021
Awful,1,2/25/2022
Waste of Money,3,2/13/2023
Love it!,3,1/17/2024
Great quality,1,4/27/2023
Love it!,3,10/10/2021
Worth the buy,5,4/2/2021
Great quality,1,7/19/2022
Great value,1,7/9/2021
Great quality,5,7/29/2022
Highly recommend,1,3/25/2022
Poor quality,2,8/26/2023
Versatile,4,7/15/2023
Highly recommend,4,11/19/2022
Waste of Money,5,2/20/2023
Great quality,2,5/29/2023
Great quality,1,12/25/2023
Worth the buy,2,5/4/2023
Great quality,4,10/15/2022
Love it!,4,3/14/2022
Great value,4,7/10/2022
Poor quality,5,12/24/2023
Great value,5,2/20/2021
Great value,3,6/23/2021
Poor customer service,1,9/4/2022
Love it!,4,10/23/2023
Highly recommend,3,10/10/2023
